Participante,Dialogo
Presentador,"Muy buenos días a todos los asistentes, los invitamos por favor a tomar sus respectivos lugares, muchas gracias. la Secretaría de Educación Pública les da la más cordial bienvenida a la tercera sesión del Consejo Nacional para la Coordinación de la Educación Superior."
Presentador,"Se solicita a todas y todos los asistentes, favor de ocupar sus lugares y apagar sus teléfonos o ponerlos en modo de silencio. A los consejeros que participan en la modalidad a distancia, les pedimos poner sus equipos en modo de silencio."
Presentador,"Antes de iniciar, para quienes se encuentran en estas instalaciones, escucharemos un importante aviso de protección civil: como pueden identificar en ambos lados de este recinto, se encuentran dos colegas con el distintivo de protección civil en sus chalecos. Favor de atender sus indicaciones en caso de cualquier eventualidad. "
Presentador,Continuamos con la presentación del presidium del día de hoy: 
Presentador,"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior"
Presentador,"Maestro Jaime Valls Esponda, Secretario General Ejecutivo de ANUIES"
Presentador,"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Educación, Ciencia, Tecnología e Innovación de la Ciudad de México"
Presentador,"Dr. Luis Alfonso Rivera Campos, Rector de la Universidad Autónoma de Chihuahua"
Presentador,"Dr. José Mustre de León, Director General del Centro de Investigación y de Estudios Avanzados del Instituto Politécnico Nacional (Cinvestav)"
Presentador,"Maestra María José Risausi Garabito, Coordinadora de la Comisión del CEAES"
Presentador,"Virtualmente, nos acompaña la Dra. Rosa María Torres Hernández, Rectora de la Universidad Pedagógica Nacional"
Presentador,"Agradecemos y damos la más cordial bienvenida a todos los integrantes. Para el desarrollo de la sesión, cedemos el uso de la palabra al Subsecretario de Educación Superior, Doctor Luciano Concheiro Bórquez"
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Tengan todas y todos ustedes muy buenos días.
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","En el primer punto del orden del día es verificar el quórum legal. Me permito informarles, de conformidad con los integrantes de CONACES, señalados en el artículo 52 de la Ley General de Educación Superior que conforman el Consejo, se encuentran presentes 20 integrantes, 20 consejeros, y 76 nos acompañan de forma virtual a través de la plataforma electrónica habilitada para estos propósitos. Considerando que esta sesión es tanto presencial como virtual, atendiendo las recomendaciones de las autoridades sanitarias declararon que existe un quórum legal para la instalación de la sexta sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior; que se registre, por favor, el acuerdo correspondiente."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","El siguiente punto del orden del día es la lectura y, en su caso, la aprobación del orden del día."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","La propuesta del orden del día para esta sexta sesión ordinaria del CONACES les fue remitida con la convocatoria correspondiente. Por lo que proponemos obviar la lectura y solo la proyectamos, ahí la tienen ustedes para que puedan verla."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Si hubiera alguna sugerencia, algún cambio…"
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Muy bien. No habiendo ninguno… quienes estén por la negativa, sírvanse manifestarlo."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Abstenciones… Queda aprobada por unanimidad.
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Que se registre también este acuerdo, si son tan amables."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Una vez desahogado este punto, continuamos con el que sigue, y me permito hacer un, dirigirles un mensaje a nombre de la ciudadana Secretaria de Educación Pública, Coordinadora Titular del CONACES, la maestra Leticia Ramírez Amaya."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Muy buenos días tengan todas y todos. Distinguidas autoridades en materia de educación superior de las entidades federativas, titulares de las instituciones de educación superior integrantes del presídium. Sí, yo quiero decir aquí que recientemente acaba de tomar posesión Luis Alfonso Rivera, precisamente en la Universidad Autónoma de Chihuahua. Le damos la bienvenida y agradeciendo el honor de que nos acompañe aquí en el presídium."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Lo mismo le digo a nuestro querido amigo el doctor José Mustre, que es su última sesión con nosotros porque viene un cambio en el Cinvestav el próximo 6 de diciembre y entonces también que nos acompañe es un honor. Yo le pediría… disculpen ser tan poco formal y romper la línea… que le demos un fuerte aplauso a Pepe Mustre."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Compañeras y compañeros de la Secretaría de Educación Pública también aquí presentes, agradezco la participación en esta sexta sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior, el CONACES. Reciban, por mi conducto, saludos afectuosos de la Secretaria de Educación Pública, Leticia Ramírez Amaya, presidenta titular del CONACES, que hoy se encuentra de gira con el Presidente, entonces no pudo asistir con nosotros. A la distancia va a estar la jefatura de la oficina acompañándonos."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Es un gran honor presidir los trabajos de esta instancia que, a casi año y medio de su instalación, avanza en una renovada forma de organización y de trabajo en la educación superior basada en la construcción de acuerdos y la toma de decisiones que se nutre con la participación y corresponsabilidad de todos los actores de este tipo educativo."
