Participante,Dialogo
Presentador,"Buenos días, sean ustedes bienvenidos a la novena sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior (CONACES). Les invitamos a tomar sus lugares antes de iniciar con el evento. Solicito su atención para dar a conocer el protocolo a seguir en caso de alguna contingencia."
Protección Civil,"Buenos días. El jardín Macadamia cuenta con una entrada principal por la cual ingresaron, misma que será usada como salida de emergencia en caso de alguna contingencia, teniendo como punto de reunión el estacionamiento principal. Deberán seguir las indicaciones del personal de Protección Civil y seguridad, quienes estamos debidamente identificados con un chaleco de color rojo. Nuestro punto de reunión en caso de contingencia es el estacionamiento principal. Asimismo, en caso de conato de incendio, se encuentran ubicados en cada una de las esquinas cuatro extintores. Solamente se requiere se retire el seguro y accione en el origen del incendio. En caso de requerir atención médica, contamos con ambulancia y paramédicos. Por su atención, muchas gracias. Por una humanidad culta, una universidad de excelencia."
Presentador,"La Secretaría de Educación Pública, a través de la Subsecretaría de Educación Superior, la Asociación Nacional de Universidades e Instituciones de Educación Superior (ANUIES) y la Universidad Autónoma del Estado de Morelos les dan la más cordial bienvenida a la novena sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior (CONACES). "
Presentador,"Preside este consejo el Dr. Francisco Luciano Concheiro Bórquez, Subsecretario de Educación Superior."
Presentador,"Saludamos al licenciado Luis Arturo Cornejo Alatorre, secretario de Educación del Estado de Morelos. "
Presentador,"Recibimos con gusto al Dr. Luis Armando González Placencia, secretario general ejecutivo de la ANUIES. "
Presentador,"Agradecemos la anfitriónía del Dr. Gustavo Urquiza Beltrán, rector de la Universidad Autónoma del Estado de Morelos. "
Presentador,"Nos acompaña la Dra. Ofelía Angulo Guerrero, secretaria de Educación, Ciencia, Tecnología e Innovación de la Ciudad de México."
Presentador,"También nos acompaña la maestra Xóchitl Carmona Barreño, subsecretaria de Educación Media Superior y Superior del Estado de Quintana Roo. "
Presentador,"Agradecemos la presencia de la Dra. María José Rhi Sausi Garavito, directora del Sistema de Acreditación y Evaluación de la Educación Superior."
Presentador,"Agradecemos la presencia del Dr. Gustavo Cruz Chávez, director general de vinculación del ANUIES. "
Presentador,"Cedo la palabra al Dr. Francisco Luciano Concheiro Bórquez, subsecretario de Educación Superior, para el desahogo de la sesión. "
