Participante,Dialogo
Presentador,La Secretaría de Educación Pública y la Asociación Nacional de Universidades e instituciones de educación superior les dan la más cordial bienvenida a la decimoquinta sesión ordinaria del Consejo Nacional para la coordinación de la educación superior CONACES.
Presentador,"El día de hoy nos honra con su presencia la doctora Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación. Recibámosla con un aplauso."
Presentador,"Se encuentra con nosotros el doctor Ricardo Villanueva Lomelí, Subsecretario de Educación Superior."
Presentador,"Nos acompaña la doctora Tania Rodríguez Mora, Subsecretaria de Educación Media Superior."
Presentador,"Está con nosotros el doctor Enrique del Val Blanco, Coordinador de Planeación, evaluación, simplificación de la gestión institucional de la Universidad Nacional Autónoma de México."
Presentador,"Nos acompaña igualmente el doctor Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES. "
Presentador,"Démosle un aplauso a la doctora Norma Rondero López, Secretaria General de la Universidad Autónoma Metropolitana."
Presentador,"Asimismo, nos acompaña la maestra María del Rosario Nolasco Fonseca, Subsecretaria de Educación Media Superior y Superior del Gobierno del Estado de Nuevo León."
Presentador,"Está con nosotros el maestro Pablo Enrique Yanes Rizzo, Secretario de Educación, Ciencia, Tecnología e Innovación de la Ciudad de México."
Presentador,"Ahora cedemos el uso de la palabra al Secretario General Ejecutivo de la Asociación Nacional de Universidades e instituciones de educación superior ANUIES, el doctor Luis Armando González Placencia, quien nos dirigirá unas palabras de bienvenida. Adelante."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Muchísimas gracias. Muy buenos días a todas y a todos, bienvenidas y bienvenidos a la ANUIES. Me da muchísimo gusto, como siempre recibirles aquí, Secretaria, Secretarios, Subsecretarias, Subsecretarios, autoridades educativas del país."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Vamos a desarrollar aquí, y me da muchísimo gusto que así sea, la decimoquinta sesión del Consejo Nacional para la Coordinación de la Educación Superior, nuestro CONACES. Este órgano colegiado, instaurado por la Ley General de Educación Superior para acordar las acciones y las estrategias que de la mano de la Secretaría de Educación Pública impulsan el desarrollo de la educación de nuestro de nuestro país."
"Dr. Luis Armando González Placencia, Secretario General Ejecutivo de la ANUIES","Me da muchísimo gusto darle la bienvenida al Secretariado Técnico Conjunto al doctor Ricardo Villanueva Lomelí, quien por primera ocasión ocupa este asiento. Bienvenido a la ANUIES otra vez Ricardo, pero además bienvenido a tu asiento al CONACES. Ya no nombro a quienes fueron saludados debidamente por el maestro de ceremonias, pero saben todas y todos que les queremos mucho aquí en la ANUIES y nos da mucho gusto recibirles aquí esta mañana. "
