Participante ,Dialogo
Presentador ,"universidades e instituciones de educación superior, les dan la más cordial bienvenida."
Presentador ,"A la 17ª sesión ordinaria del Consejo Nacional para la coordinación de la educación superior, Conaces."
Presentador ,Nos honran con su participación.
Presentador ,"La secretaria de ciencia, humanidades, tecnología e innovación, Rosaura Ruiz Gutiérrez, quien nos acompaña por videoconferencia."
Presentador ,"El subsecretario de Educación Superior, Ricardo Villanueva Lomelí."
Presentador ,"El secretario general ejecutivo de la ANUIES, Luis Armando González Plascencia."
Presentador ,"La rectora de la Universidad Pedagógica Nacional, Rosa María Torres Hernández."
Presentador ,"El coordinador de planeación, evaluación y simplificación de la gestión institucional de la Universidad Autónoma de México, Enrique del Val Blanco."
Presentador ,"La subsecretaria de Educación Media Superior y Superior del gobierno del Estado de Nuevo León, Rosario Nolasco Fonseca."
Presentador ,"El subsecretario de Educación Superior del gobierno del Estado de Oaxaca, Cesul Bolaños López."
Presentador ,"El secretario de educación, ciencia, tecnología e innovación de la Ciudad de México, Pablo Enrique Yáñez Rizo."
Presentador ,"Escucharemos un mensaje de bienvenida de la doctora Rosaura Ruiz, secretaria de ciencia, humanidades, tecnología e innovación.Por favor, doctora, la escuchamos."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Buenos días, todos y todas, los saludo con mucho afecto."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Ricardo, buenos días, Ricardo, el subsecretario."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Eh, Luis Armando, es que me quitaron la pantalla, perdón."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Estaba Luis Armando, Enrique del Val, compañeros todos y todas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación",Me da mucho gusto saludarlos.
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Y eh, les quiero comentar que una de las atribuciones centrales de la Secretaría de Ciencia, humanidades, tecnología e innovación, es asegurar la vinculación recíproca entre el sistema nacional de ciencia, humanidades, tecnología e innovación y el sistema de educación superior."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Asegurar estas relaciones es estratégica, pues implica conectar a la comunidad científica de nuestro país con las universidades y centros educativos, potenciando tanto la formación como la investigación."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Permítanme subrayarlo con claridad, la educación superior sin ciencia es incompleta y la ciencia sin enseñanza es vacía, no tendremos, no tendríamos herencia que dejar."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Vincular ambos polos del conocimiento es la base de un proyecto de nación que apuesta por el conocimiento como motor del desarrollo, la equidad y la soberanía"
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","En este marco, me complace anunciar que la Secretaría de Ciencia, humanidades, tecnología e innovación SECIHTI en adelante, en coordinación con la Secretaría de Educación Pública y la Asociación de Universidades e Instituciones de Educación Superior, ANUIES."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","realizamos seis foros regionales de diálogo y consulta con las diversas instituciones de educación superior del país, a fin de revisar y adecuar los criterios y procesos de valoración de los programas en el Sistema Nacional de Posgrados."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Los foros se realizaron el 23 y el 25 de agosto en las ciudades de Puebla, La Paz, Baja California Sur, La Paz, Baja California Sur, Guadalajara, San Cristóbal de las Casas, San Luis Potosí y la Ciudad de México."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Además de encuentros adicionales en Xalapa, Aguascalientes, Mérida y León, Guanajuato."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","En los próximos días, los resultados de estos diálogos se verán reflejados en la publicación de los nuevos lineamientos del Sistema Nacional de Posgrados, así como en la convocatoria que invitará a participar a más de 4,000 programas de posgrado en el proceso de valoración a través de comisiones de pares y mediante cinco dimensiones."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Las capacidades académicas del programa, el compromiso con la formación de las y los estudiantes, la pertinencia del programa de estudios, el compromiso con la inclusión y la igualdad sustantiva y el compromiso con la sociedad."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación",Permítanme compartir algunos datos que reflejan la vitalidad del sistema nacional de posgrados.
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Contamos ya con 3,483 programas, de los cuales 3,110 son públicos y 164 privados."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","La distribución es, eh, es muy importante señalar que aunque en la distribución de las becas, las áreas de conocimiento de medicina y ciencias de la salud presentan un liderazgo, las ciencias con un 21%, las ciencias sociales con un 20% y las ingenierías y tecnologías con 19%, es necesario señalar que tenemos diversas áreas en donde hay una casi disminución o poco aumento en el número de estudiantes."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","y el número de posgrados, perdón."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","particularmente en física, matemáticas,"
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","en las ingenierías de base física matemática y como ciencias de la tierra, ciencias de materiales y también en áreas de humanidades como filosofía e historia."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Esto tenemos que tomarlo en cuenta, pues los posgrados en estas áreas no solo no crece, sino que en muchos casos disminuyen."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Eh, nosotros actualmente eh vinculamos, decía, los dos programas centrales de la SECIHTI, las becas y el programa de investigadores el programa Nacional de investigadores e investigadoras."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","En en 2025, la SECIHTI otorgó 24,849 becas nuevas para cursar posgrados, mientras que en el SNII se alcanzó un total de 44,835 integrantes, de los cuales el 41% son mujeres y el 59% son hombres."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Por otro lado, con respecto a las becas, las becas en el número actual, el número de becas actualmente es de 85,000 en el posgrado nacional."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","17,000 son nuevas."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Además, casi 5,000 se dieron para para posgrados en el extranjero."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Eh, los también dimos becas de posdoctorados nacionales."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","2015 nuevas becas para un total de 8,500 becas posdoctorales a nivel nacional."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Al mismo tiempo, reactivamos las becas de posgrado internacionales y también las becas de movilidad."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","Del total del sistema nacional de investigadores, cerca de una cuarta parte corresponde a candidatas y candidatos, lo que muestra un dinamismo para una nueva generación que se incorpora al sistema."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","La mayoría se concentra en el nivel uno, el 52%."
"Dra. Rosaura Ruiz Gutiérrez, Secretaria de Ciencia, Humanidades, Tecnología e Innovación","En los niveles superiores, un 15% pertenece al nivel dos, mientras que solo 7.6 alcanza el nivel tres y la categoría de eméritos, expresión de reconocimiento a las trayectorias más destacadas, también se se se reúne en este casi 8%."
