Participante ,Dialogo
Presentador ,Muy buenos días
Presentador ,tengan todas y todos
Presentador ,la Secretaría de Educación Pública y la Asociación Nacional de Universidades e Instituciones de Educación Superior ANUIES
Presentador ,les dan la más cordial bienvenida a la decimotercera sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior CONACES
Presentador ,se solicita a todas y todos los asistentes ocupar sus lugares y apagar sus teléfonos o ponerlos en modo de silencio
Presentador ,antes de iniciar escucharemos un importante aviso de protección civil
Representante de protección civil ,Mensaje de protección civil
Representante de protección civil ,Antes de iniciar el evento escuchemos con atención un aviso de protección civil
Representante de protección civil ,Estamos ubicados en planta baja
Representante de protección civil ,les pedimos que identifiquen la simbología de rutas de protección civil como son ruta de evacuación y zona de menor riesgo
Representante de protección civil ,De su lado derecho contamos con tres puertas mismas que pueden ser utilizadas para evacuar en caso de alguna emergencia
Representante de protección civil ,"Las dos primeras los dirigen hacia lobby del edificio con salida a la calle Miguel Laure, mientras que la tercera hacia un punto de reunión dentro de las instalaciones. De su lado izquierdo también hay una salida que los dirige a la calle de Tenayuca. Cuando se encuentren en el primer o segundo piso, nuestro protocolo de seguridad ante un sismo es realizar el repliegue. Al escuchar la alerta sísmica debemos mantener la calma, ubicarnos en los puntos señalados como puntos de menor riesgo, que son los letreros verdes colocados en columnas y muro perimetral. Sin tratar de salir por escaleras o elevadores. Al terminar el sismo y después de que el personal capacitado revise que la escalera no haya sufrido daños, entonces procederemos a la evacuación. Por su atención, gracias. Bienvenidos."
Presentador ,"A continuación cedemos el uso de la palabra al subsecretario de Educación Superior, doctor Luciano Concheiro Bórquez para conducir la sesión."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Muy buenos días tengan todas y todos ustedes.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Estamos en esta reunión que siempre es especial del conaces, pero hoy mucho más porque bajo la presidencia de nuestra secretaria"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Leticia Ramírez Amaya es la última sesión, entonces pues siempre tiene un significado. Está hoy en su representación eh la doctora Gicela Victoria Salinas Sánchez, acompañándonos aquí, sí, va a intentar estar en toda la sesión."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","La maestra Leticia eh hoy la llamaron de presidencia, entonces en el último momento nos anunció que no podía venir. Eh vamos a iniciar la sesión con el primer punto de la orden del día, eh que es la verificación del quórum legal y en su caso la instalación de la sesión."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Les informo que de conformidad con lo que establece el artículo 52 de la Ley General de Educación Superior respecto al número de integrantes del consejo, tenemos ya eh el quórum legal, presenciales."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Tenemos y muchísimas gracias por su asistencia a 20 compañeros y compañeras y virtuales a 65, con lo que tenemos el quórum legal."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","En función de ello, declaro la existencia de este quórum legal para la instalación de la décimotercera sesión ordinaria del Consejo Nacional para la coordinación de la educación superior y se proyecta el acuerdo correspondiente. Si son tan amables, me permito dar lectura al mismo."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",El acuerdo es: los integrantes del Consejo Nacional para la coordinación de la educación superior CONACES aprueban la instalación de su décimotercera sesión ordinaria.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Si les parece bien, como la reunión mixta, como hemos venido haciendo o híbrida,"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","votaremos como lo hemos hecho en otras ocasiones, no es muy bonito, siempre digo eso, de pedir por la negativa en primer lugar,"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","pero bueno, eh lo haremos así. Entonces preguntaré primero por los votos que existan por la negativa y luego eh las abstenciones y finalmente pues el resto son eh se entiende así porque no hay otra opción por la afirmativa."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Los que estén por la negativa sírvanse manifestarlo levantando su mano y estamos pendientes allá eh por favor, ¿no? De a distancia."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Bien, no existiendo eh ningún voto en contra, pregunto abstenciones. Tampoco existen, entonces queda aprobada la orden del día por unanimidad de los presentes y eh paso al punto número dos que es la lectura y en su caso aprobación de la orden del día."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Como segundo punto, les comento que la propuesta de orden del día para esta decimosegunda, tercera, décimotercera sesión ordinaria del CONACES les fue remitida con la convocatoria correspondiente si proyectan las órdenes del día"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","les consulto si ha de aprobarse o existe alguna consideración, algún punto más que deba agregarse al orden del día"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","no habiendo ninguna propuesta, entonces procedo. Si ponen el acuerdo, si son tan amables, que es este: el CONACES aprueba en todos y cada uno de sus puntos el orden del día de su décima tercera sesión ordinaria."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Los que estén por la negativa, sírvanse manifestarlo."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Abstenciones. Bien, queda aprobado. Regístrese el acuerdo, si son tan amables. Una vez desahogado el punto anterior, continuamos con el que sigue, que es el punto"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","punto tres, que sería el mensaje eh que en nombre de la ciudadana Leticia Ramírez Amaya, secretaria de educación pública y coordinadora del Conaces, va a presentar la doctora Salinas."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Daré el ahí lo tienes, ¿va? Ya."
"Dra. Gisela Salinas Sánchez, Titular de la Jefatura de Oficina de la Secretaría de Educación Pública","Doctor Luciano Conchero Borquez, subsecretario de educación superior. Doctor Luis Armando González Placencia, secretario general ejecutivo de la Asociación Nacional de Universidades e instituciones de educación superior de la República Mexicana, ANUIES."
"Dra. Gisela Salinas Sánchez, Titular de la Jefatura de Oficina de la Secretaría de Educación Pública",Gracias por recibirnos en este espacio
"Dra. Gisela Salinas Sánchez, Titular de la Jefatura de Oficina de la Secretaría de Educación Pública","Autoridades educativas de las distintas entidades federativas, representantes de instituciones de educación superior, asociaciones nacionales de instituciones de educación superior públicas y privadas, personal académico y estudiantes en representación de los subsistemas de educación superior."
"Dra. Gisela Salinas Sánchez, Titular de la Jefatura de Oficina de la Secretaría de Educación Pública",Buenos días a todas y a todos.
