Participante ,Dialogo
Presentador ,"Muy buenos días. La Secretaría de Educación Pública y la ANUIES les dan la más cordial bienvenida a la cuarta sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior. Se solicita a todas y todos los asistentes, favor de ocupar sus lugares y apagar sus teléfonos o ponerlos en modo silencioso. A los consejeros que participan en la modalidad a distancia, les pedimos poner su micrófono de sus equipos en modo silencioso. Antes de iniciar, para quienes se encuentran de manera presencial en este auditorio, escucharemos un importante aviso de protección civil."
Presentador ,"En ambos lados de este recinto podemos ubicar a dos compañeros con el distintivo de protección civil en sus chalecos. En caso de cualquier eventualidad, favor de atender sus indicaciones en todo momento."
Presentador ,"Agradecemos y damos la más cordial bienvenida a los integrantes del presídium que nos acompañan el día de hoy. Carmen Enedina Rodríguez Armenta, directora general de Educación Superior Universitaria e Intercultural en representación del subsecretario de Educación Superior."
Presentador ,"Jaime Valls Esponda, secretario general de la ANUIES."
Presentador ,"Rosa María Torres Hernández, rectora de la Universidad Pedagógica Nacional."
Presentador ,"Rosaura Ruiz Gutiérrez, secretaria de Educación, Ciencia, Tecnología e Innovación de la Ciudad de México."
Presentador ,"Para el desarrollo de la sesión, cedemos el uso de la palabra a la directora general de Educación Superior Universitaria e Intercultural, doctora Carmen Enedina Rodríguez Armenta."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural",Muchas gracias. Muy buenos días a todas y a todos.
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Iniciamos esta sesión del Consejo Nacional para la coordinación de la Educación Superior con el primer punto del orden del día, que es la verificación del quórum legal y, en su caso, instalación del Conaces y, en ese sentido, les informo que, de conformidad con la relación de los integrantes del presente consejo y según lo establece el artículo 52 de la Ley General de Educación Superior, se encuentran presentes 57 personas de manera virtual y 16 personas de manera presencial a través de la plataforma electrónica habilitada para estos propósitos. Considerando que esta sesión es híbrida, atendiendo a las recomendaciones de las autoridades sanitarias, por lo cual declaro que existe quórum legal para la instalación de la cuarta sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior. Les pedimos, por favor, que se registre el acuerdo correspondiente."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Y seguimos con el punto del orden del día siguiente, que es la lectura y, en su caso, aprobación del orden del día. Lo tienen ustedes en sus pantallas, tanto de manera presencial como virtual, y la propuesta fue remitida con la convocatoria correspondiente. Por lo que proponemos obviar su lectura y la estamos proyectando para su fácil referencia. En función de lo anterior, les consulto si es de aprobarse la propuesta del presente orden del día en los términos mencionados o en los términos aquí referidos o si tienen alguna propuesta de modificación."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Eh, les pediría que, al tratarse de una sesión híbrida, lo manifiesten; manifiesten si tienen alguna solicitud levantando la mano, por favor, de manera presencial o a distancia. Si podemos revisar el equipo técnico si alguien a distancia está levantando la mano."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","¿No? Muy bien. En función de lo anterior, les consulto si es de aprobarse la propuesta del orden del día de la presente reunión en los términos aquí mencionados eh y les pediré se manifiesten los que se encuentren por la negativa."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Si ninguno eh a nivel virtual, por favor. Ninguno. Muy bien."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Aprobado por unanimidad. Que se registre, por favor, el acuerdo. Una vez desahogado el punto anterior, continuamos con el punto siguiente."
"Dra. Carmen Enedina Gutiérrez Armenta, Directora General de Educación Superior Universitaria e Intercultural","Que es la bienvenida a cargo de la maestra Delfina Gómez Álvarez, secretaria de Educación Pública y coordinadora de este consejo. Eh, la maestra Delfina Gómez Álvarez, en representación y en voz de una servidora, ofrece una gran disculpa por no poderse encontrar el día de hoy con nosotros. Están apuntando todos los elementos a los cuales podamos llegar y el doctor Luciano Concheiro Bórquez en breve se incorporará a esta sesión. Se encuentra en estos momentos con el señor presidente de la República en el monumento a las personas ilustres eh dando la bienvenida a los restos de Arnoldo Martínez Verdugo y bueno, es por ello que se encuentra en estos momentos allá y en unos momentos llegará eh con nosotros. Y bueno, nos queda muy claro en esta bienvenida que todas y todos los que nos encontramos aquí estamos a favor de la educación superior del país en este proceso de transformación que los seres humanos tenemos cuando llegamos a la educación superior. Así que eh, en nombre de mis superiores, les agradezco que todas y todos ustedes se encuentren aquí, les damos una cordial bienvenida y le cedemos el micrófono al maestro Jaime Valls, secretario de esta asociación que amablemente nos recibe en sus instalaciones. Muchas gracias, maestro."
"Mtro. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES ( - 2023)","Muchas gracias, es un honor recibirlos. Saludo a la doctora Carmen Rodríguez, a la secretaria también del gobierno de la Ciudad de México, a la rectora de la Universidad Pedagógica Nacional y a todos los presentes."
"Mtro. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES ( - 2023)","Eh, pasamos al punto cuatro, dando cumplimiento a los lineamientos que rigen este consejo en la convocatoria de la presente sesión, fue remitida el acta de la sesión anterior, por lo cual les proponemos obviar eh también su lectura para poder agilizar el desarrollo de la de la presente sesión y dar paso al desahogo de los temas que nos ocupan. En función de lo anterior, les consulto si es de aprobarse el acta de la tercera sesión ordinaria; si alguien tiene algún comentario a la misma."
"Mtro. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES ( - 2023)","Los que estén por la negativa sírvanse manifestarlo. Se aprueba eh el punto. Que se registre el acuerdo, por favor."
