Participante ,Dialogo
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Estamos muy contentos de estar aquí y de la calurosa recibida del señor rector.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Y ahora iniciamos la sesión, me informan que tenemos eh quorum, ¿no?"
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Y entonces el quorum legal, no vayan a extrañarse que aparezca la palabra quorum con C, según la Real Academia, ya es con C, no es con Q."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Entonces estamos y podemos instalar formalmente esta eh digamos séptima reunión eh de el Conaces.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Les informo que de conformidad con los integrantes mencionados en el artículo 52 de la la Ley General de Educación Superior eh que conforme al consejo se encuentran presentes que son 62 presenciales y 26 virtuales.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Esto es tenemos 88 sobre 125 ya en este momento que nos eh vamos a dar eh comienzo eh a partir digamos de un manejo, recuérdenlo ustedes de lo presencial y de la plataforma habilitada para estos propósitos. Eh no obstante que la sesión fue convocada presencial, quiero decir que algunos compañeros y compañeras solicitaron si eh la eh poder eh integrarse de forma eh digamos virtual y entonces en esta sesión híbrida."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","No me queda nada más que anunciar esto una vez instalada formalmente la sesión, cederle el uso de la palabra a nuestro querido rector. Adelante, adelante, por favor."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Gracias, señor subsecretario. Muy buenos días a todos."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Sean bienvenidos a su casa, la Universidad Autónoma del Estado de Hidalgo, en este que es el centro de extensión universitaria."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","A quienes están a distancia también les expresamos un caluroso saludo a nombre de su servidor y, por supuesto, de la máxima casa de estudios en el estado de Hidalgo."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Gracias eh señor subsecretario, doctor Luciano Concheiro, por distinguimos en ser sede de esta séptima sesión del Conaces."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","También gracias a un buen amigo, el doctor Luis Armando González, para que de manera conjunta con la Secretaría de Educación Pública, con el doctor Concheiro nos distinguieran con esta que es la primera sesión fuera de la Ciudad de México del Conaces."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Bienvenidos, bienvenidos también señor secretario de Educación Pública del estado de Hidalgo. Gracias eh amigo por estar acompañándonos como siempre, doctor Natividad Castrejón."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Es para mí un placer y agradezco como siempre la gentileza de la presidenta del patronato universitario de esta casa. a la diputada federal, la maestra Lidia García Ayala, gracias como siempre presidenta por eh acompañar a las actividades de su casa."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","De manera particular, por supuesto, agradezco a la diputada local María Adelaida Muñoz Jumilla, que es la presidenta de la Comisión de Educación del Honorable Congreso del Estado de Hidalgo y en su persona agradecer el apoyo que siempre recibimos del Congreso del Estado para con la universidad."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Gracias, bienvenidos todos los rectores, los directores de las instituciones de educación superior, sean bienvenidos a esta su casa."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",Me da mucho gusto ver caras caras conocidas esta esta es su casa.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","De manera también particular agradecer la presencia de la doctora Carmen Enedina, sin duda una gran compañera universitaria que apoya las gestiones de todas las universidades públicas de este de este país."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",El proyecto de la educación superior mexicana es una parte medular en la historia social y política de nuestro país.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",A partir de él es posible entender los cambios y transformaciones a los cuales se ha enfrentado el pueblo de México.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",En los momentos más desafiantes de su conformación en todas las dimensiones. En la actualidad las instituciones de educación superior estamos llamadas a atender una red compleja de rubros que el tiempo demanda.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Es necesario que fortalezcamos nuestros procesos y de la manera en que nos relacionamos en el ámbito interinstitucional, en diálogo con otras casas de estudio, pero también intersectorialmente con otras organizaciones y con otras estructuras."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","La agenda que proyecta este consejo nos coloca en el núcleo de la actualidad, nos permite participar de manera colectiva y en común acuerdo en la construcción de una perspectiva educativa que corresponda a las diversas realidades del presente."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ","Tenemos una responsabilidad histórica, un compromiso fundamental que es el de formar a quienes han de sostener con su trabajo y conocimiento a la sociedad mexicana."
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",Al mismo tiempo brindamos posibilidad real de mejorar las circunstancias de las generaciones a partir de la invaluable oportunidad de recibir estudios profesionales de calidad rigurosamente evaluados y avalados.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",Con ello el complejo escenario de la competitividad se convierte en una fuente de transformaciones para la mejora y para la prosperidad.
"Dr. Octavio Castillo Acosta, Rector de la Universidad Autónoma del Estado de Hidalgo (2023-2029) ",Nuestra obligación es tomar partido en conjunto para atender las áreas que necesitan fortalecerse.
