Participante,Dialogo
Luciano Concheiro Bórquez,Tengan todas y todos ustedes muy buenos días.
Luciano Concheiro Bórquez,"Hoy estamos de fiesta, podríamos decirlo así, porque nos acompaña nuestra secretaria de educación y es fundamental para nosotros en esta instancia clave para la gobernabilidad, como hemos dicho, de todo el sistema de educación superior para lograr integrar este sistema tan importante, pero a la vez también, como hemos dicho, esta suerte de archipiélago, de archipiélagos donde tenemos una existencia clave en términos de cada subsistema, pero no hemos logrado integrarnos. Este esfuerzo a partir de la Ley General de Educación Superior no lo permite."
Luciano Concheiro Bórquez,"primero tengo que anunciar estas cosas formales, pero es importante, tenemos ya los integrantes necesarios para sesionar. Hasta el momento tenemos 10 presenciales y 73 a distancia. Entonces tenemos el cuórum necesario y podemos dar inicio."
Luciano Concheiro Bórquez,"Yo le pediría, si es tan amable a nuestra, eh, digamos, secretaria que podamos arrancar con su intervención."
Luciano Concheiro Bórquez,"le pido en ese sentido que en esta primera reunión, estando ella presente del del Conaces, podamos contar con su intervención."
Luciano Concheiro Bórquez,Entonces me permito si si eh avanzar en este sentido en este punto de la eh aprobación de la orden del día.
Luciano Concheiro Bórquez,"si hubiera alguien que quiera eh plantear algún punto o discutir en la forma en la cual está planteado. Ustedes se darán cuenta, va a ser una reunión ágil, va a ser una reunión de información y de puesta al día de cómo van todas nuestras tareas."
Luciano Concheiro Bórquez,"Entonces vamos a proceder lo mismo que hemos hecho en otras ocasiones, vamos a proceder en este horrible método de votar en la negativa, ¿no? Entonces si no hubiera nadie que tenga algún punto a la distancia tampoco. en esta perspectiva eh quienes estén en contra de aprobar la orden del día."
Luciano Concheiro Bórquez,entonces queda aprobada por unanimidad y por favor tómese en cuenta este acuerdo.
Luciano Concheiro Bórquez,"ahora sí va el mensaje de bienvenida a cargo de la maestra Leticia Ramírez Amaya, nuestra secretaria de educación pública y coordinadora del Conaces, si es tan amable, por favor."
Leticia Ramírez Amaya,"muy buenos días a todas, buenos días a todos."
Leticia Ramírez Amaya,"a las distinguidas autoridades en materia de educación superior de las entidades federativas que nos están acompañando ya sea de manera presencial o virtual. Señoras y señores, titulares de las instituciones y asociaciones de educación superior que integran el Conaces."
Leticia Ramírez Amaya,"Sí, distinguidos y distinguidos integrantes del presidio e invitados a esta sesión. compañeros y compañeras de la Secretaría de Educación Pública. Agradezco la presencia y participación de todas y todos, en particular de las y los integrantes del Consejo Nacional para la Coordinación de la Educación Superior Conaces."
Leticia Ramírez Amaya,"La verdad es que es para mí un gran honor encabezar los trabajos de esta quinta sesión ordinaria que, como señala la Ley General de Educación Superior, es el órgano colegiado con amplia representatividad cuyo mandato es establecer los mecanismos de interlocución, deliberación, consulta y consenso."
Leticia Ramírez Amaya,Reitero la palabra consenso para llevar a cabo las acciones y estrategias necesarias para impulsar el desarrollo de la educación superior.
Leticia Ramírez Amaya,"Sin duda, el diseño, la conformación y atribuciones del Conaces constituye una de las renovaciones de las innovaciones de mayor relevancia y trascendencia de la Ley General de Educación Superior que permite construir una nueva forma de gobierno basada en la toma de decisiones participativa, colegiada y con un alto grado de corresponsabilidad de todos los involucrados."
Leticia Ramírez Amaya,"Quiero decirles que hoy estoy al tanto del trabajo y las importantes acuerdos alcanzados en este consejo. El doctor Luciano me lo me ha puesto al tanto que y que a solo un año de su instalación registra avances muy relevantes para impulsar transformaciones, hacer efectivo el derecho humano a la educación superior y lograr que las instituciones no solo refrenden, sino acrecienten y hagan evidente su compromiso social."
Leticia Ramírez Amaya,"México tiene un enorme potencial en sus 4319 instituciones de educación superior. Es un nombre, es un número que se lee fácil, 4319 instituciones, ¿sí? Y con el apoyo de los más de 450000 docentes que forman a 5.1 millones de estudiantes de licenciatura y posgrado en todo el país. Es un enorme potencial."
Leticia Ramírez Amaya,Para detonar y aprovechar ese enorme potencial resulta muy importante avanzar con celeridad y firmeza en la ruta de instrumentación de la Ley General de Educación Superior que se ha atrasado este Conaces.
Leticia Ramírez Amaya,"En la sesión que se realizará hoy se expondrán los avances en cinco temas que son estratégicos para lograr dicho propósito. Ustedes los conocen muy bien, los voy a decir rápidamente: es armonizar las legislaciones estatales con la disposición de la Ley General de Educación Superior, reactivar y dinamizar las comisiones estatales para la planeación de la educación superior, COEPES, para impulsar el trabajo colaborativo de todos los actores de la educación superior."
Leticia Ramírez Amaya,Construir y poner en operación el sistema de evaluación de la educación superior
Leticia Ramírez Amaya,avanzar en la construcción de un modelo y una política de financiamiento que brinde soporte sólido a la nueva generación de políticas de educación superior
Leticia Ramírez Amaya,presentar los avances en la elaboración del Programa Nacional de Educación Superior.
Leticia Ramírez Amaya,"Distinguidos integrantes del Conaces. México necesita instituciones de educación superior vigorosas y comprometidas con la equidad, la inclusión y la excelencia educativa"
Leticia Ramírez Amaya,Por ello tengan la plena certeza de que la secretaría de educación pública apoyará las propuestas y los esfuerzos del Conaces para responder con eficacia a los retos que enfrenta el país. .
Leticia Ramírez Amaya,Hoy el desafío más urgente para las autoridades educativas federales y estatales y para el conjunto de instituciones educativas en todos sus tipos está en remontar los impactos negativos provocados por la pandemia y en impulsar las transformaciones para hacer realidad los fines establecidos en la Ley General de Educación
Leticia Ramírez Amaya,"Como ustedes saben hace unos días, el primero de septiembre, asumí la responsabilidad de la Secretaría de Educación Pública y tengo muy clara la importancia de impulsar una educación con equidad y con excelencia en la educación superior. Sé que en este terreno ustedes seguirán trabajando para hacerlo realidad."
Leticia Ramírez Amaya,"Nuestro país es muy diverso, complejo, con múltiples desigualdades y tenemos que pensar que en la educación para, en la educación para todos y todas. Y hoy también se celebra el día internacional de la alfabetización."
Leticia Ramírez Amaya,"Acompañaré a los colegas del Instituto Nacional para la Educación de los Adultos, el INEA, pues también tengo que tener muy presente la importancia del derecho a la educación para la población adulta y los jóvenes mayores de 15 años que no cuentan con estudios de educación primaria o secundaria concluidos y que en nuestro país suman lamentablemente poco más de 4 millones de personas."
Leticia Ramírez Amaya,"Su educación es una posibilidad para que tengan mejores alternativas en su vida. Por ese motivo le he solicitado al doctor Luciano Concheiro, subsecretario de educación superior, a quienes ustedes ya conocen muy bien, ¿sí?"
Leticia Ramírez Amaya,"Que conduzca los trabajos de esta reunión y que podamos continuar fortaleciendo la educación superior. Permítanme exhortarlos a reforzar el compromiso como como autoridades e instituciones de educación superior en favor de las mejores causas de nuestro país. Sí, nuestro país se lo merece, nuestro país nos lo reconocerá"
Leticia Ramírez Amaya,"México, las y los necesita trabajando a todos en favor de la equidad, la inclusión y la excelencia en todas las regiones y en todos los sectores de la sociedad, desplegando a plenitud las funciones sustantivas de docencia, investigación científica y humanística, extensión y difusión de la cultura."
Leticia Ramírez Amaya,Estoy cierto que así será. Muchas gracias.
Luciano Concheiro Bórquez,muchísimas gracias secretaria y bienvenida a esta instancia colegiada coordinada eh por ti. Es un gusto para todos eh y creo que hablo a nombre de todas y todos eh contar con con tu presencia.
Luciano Concheiro Bórquez,Y si nos permites continuamos el desahogo de la orden del día. Pasamos al punto cuatro que es la presentación y en su caso aprobación del acta de la sesión anterior.
Luciano Concheiro Bórquez,"Dando cumplimiento a los lineamientos que rigen este consejo. En la convocatoria a esta sesión fue remitida el acta de la sesión anterior, por lo cual les proponemos obviar también su lectura para poder agilizar el desarrollo de la sesión y dar paso al desahogo de los temas agendados y de fondo."
Luciano Concheiro Bórquez,"En función de lo anterior si hubiera algún punto, alguna observación del acta. Si no lo hay, entonces eh procedemos a eh el mismo con el mismo mecanismo a preguntarles a ustedes quién esté eh por la negativa de aprobar el acta. Queda aprobada por unanimidad que se registre el acuerdo."
Luciano Concheiro Bórquez,"entramos entonces al punto cinco, presentación y, en su caso, aprobación del seguimiento de acuerdos de las sesiones del Conaces."
Luciano Concheiro Bórquez,"Como ustedes saben, una de las funciones de este secretariado técnico conjunto con la ANUIES, en particular con nuestro querido amigo Jaime Valls, es eh dar cuenta a todas y todos del estado que guardan los acuerdos aprobados por este consejo. Para dar cumplimiento a lo anterior, en días pasados se solicitó a ustedes preparar el informe de avances en los acuerdos que corresponden a su ámbito de responsabilidad."
Luciano Concheiro Bórquez,"A partir de lo anterior se integró el informe de seguimiento que también se incluyó en la carpeta y respecto del cual también se sugiere obviar la lectura y someter a su aprobación, en su caso, dicho informe."
Luciano Concheiro Bórquez,"En este marco les consulto eh si es de aprobarse el informe, si hay alguna intervención.Entonces, este informe de seguimiento de los acuerdos presentado por este secretariado técnico conjunto, les solicito que quienes estén por la negativa. abstenciones, aprobado por unanimidad. Por favor, que también se registre este acuerdo."
Luciano Concheiro Bórquez,"Pasamos ahora al siguiente punto, pero les cedo la conducción, así vamos a ir eh turnándonos al maestro Jaime Valls Esponda, por favor, Jaime."
