Participante ,Dialogo
Presentador,Muy buenos días. La secretaría de educación pública les da la más cordial bienvenida a este acto de instalación de la primera sesión del consejo nacional para la coordinación de la educación superior.
Presentador,A continuación me permito presentarles a las siguientes personalidades que nos acompañan en el presidio.
Presentador,"La maestra Delfina Gómez Álvarez, secretaria de educación pública y coordinadora del consejo nacional para la coordinación de la educación superior.
"
Presentador,"La doctora Rosaura Ruiz Gutiérrez, secretaria de educación superior, ciencia, tecnología e innovación de la Ciudad de México."
Presentador,"Al doctor Luciano Concheiro Bórquez, subsecretario de educación superior."
Presentador,"Al doctor Enrique Graue Wiechers, rector de la Universidad Nacional Autónoma de México."
Presentador,"y al maestro Jaime Valls Esponda, secretario general ejecutivo de la Asociación Nacional de Universidades e instituciones de educación superior."
Presentador,A todas y todos muchísimas gracias por su distinguida presencia.
Presentador,Y también agradecemos la presencia de quienes hoy nos acompañan aquí de manera presencial y de manera remota.
Presentador,"Para iniciar este acto, cedemos el uso de la palabra al subsecretario de Educación Superior, doctor Luciano Concheiro Bórquez."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Tengan todas y todos ustedes muy buenos días.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Me comunican que tenemos el quórum legal, tanto en términos de los asistentes en esta forma híbrida que hemos adoptado como los que se encuentran a distancia."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Realmente estoy muy muy emocionado, es la relativa coronación, quiero decirlo, de un proceso fundamental en la integración de lo que va a ser el cuerpo colegiado para establecer las estrategias, las políticas fundamentales y generar un sistema de educación a nivel nacional donde como sistema de educación superior nos vamos a integrar con mucha fuerza."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Eh presentándonos tenemos un total de asistentes de 70 asistentes presencial, 39 frente a remoto 32 y entonces eh instalamos, digamos por instalada esta primera sesión ordinaria del Consejo Nacional para la coordinación de la educación superior."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.","Solicitamos que se registre este acuerdo correspondiente como nuestro primer acuerdo, ¿no?, el quórum."
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Eh señora secretaria e integrantes del Consejo Nacional de Coordinación de la Educación Superior.
"Dr. Luciano Concheiro Bórquez, subsecretario de Educación Superior.",Existe quórum para instalar e iniciar la sesión.
