Participante,Dialogo
Presentador,La Secretaría de Educación Pública les da la más cordial bienvenida a todas y todos ustedes a la tercera sesión del Consejo Nacional para la Coordinación de la Educación Superior.
Presentador,Se solicita a todas y todos los asistentes el favor de ocupar sus lugares y apagar sus teléfonos o ponerlos en modo de silencio.
Presentador,"Antes de iniciar, escucharemos un importante aviso de protección civil. Les informamos a todos los asistentes que en caso de cualquier eventualidad deberán prestar atención a todas las indicaciones que nuestros compañeros de protección civil nos brindarán, ubicados en ambos costados de este recinto."
Presentador,Agradecemos y damos la más cordial bienvenida a los integrantes del presidium:
Presentador,"Luciano Concheiro Bórquez, subsecretario de Educación Superior."
Presentador,"Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública."
Presentador,"Rosa María Torres Hernández, rectora de la Universidad Pedagógica Nacional."
Presentador,"Lilian Kravzov Appel, rectora de la Universidad Abierta y a Distancia de México."
Presentador,"Y finalmente, Jaime Valls Esponda, secretario general ejecutivo de la ANUIES."
Presentador,"Para el desarrollo de la sesión, cedemos el uso de la palabra al subsecretario de Educación Superior, Dr. Luciano Concheiro Bórquez."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Tengan todas y todos ustedes muy pero muy buenos días, en mi carácter de secretario técnico del consejo les informo que de conformidad con lo que establece el artículo 52 de la Ley General de Educación Superior referido a los integrantes que conforman el consejo, se encuentran presentes 10 de los consejeros y 76 virtual. Nos acompañan entonces en total 86 consejeros, lo que nos permite declarar el quórum legal para la instalación de la tercera sesión ordinaria del Consejo Nacional para la coordinación de la educación superior. Solicito que se registre el acuerdo correspondiente. "
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Procedemos ahora a la lectura, si ustedes lo consideran pero creo que la tuvieron de la orden del día, solo quisiéramos hablar de unos pequeños cambios, nos pareció que debíamos intentar integrar en el punto seis, dos puntos que eh se tocan mucho y no aparecer eh separando el programa nacional de educación superior y el programa de ampliación de la oferta de educación superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Van junto con pegado, como suele decirse por ahí, ¿no?, popularmente, entonces quisiéramos plantear eh su integración, ese es el ligero eh cambio eh nos había quedado fuera el sistema también de evaluación y acreditación de la educación superior, se va a hacer un breve informe que Roger nos va a hacer el favor de de adelantar y eh quedarían en asuntos generales que no venían referidos dos puntos, los resultados preliminares de la matrícula y cobertura de la educación superior para el inicio del ciclo escolar 2021- 2022 y entonces que nos parecía muy importante con todo y que no están totalmente toda la información, sin embargo hay una serie de infor de puntos que nos parece más que relevante que todas y todos ustedes conozcan ese avance. Después eh profundizaremos al respecto, ¿no? una vez que tengamos todo el panorama completo, pero ya verán ustedes ciertos elementos que cambian fuertemente del año anterior a este año."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"El segundo punto de asuntos generales sería una propuesta de acuerdo para la mejora continua en las instituciones de educación superior, es un trabajo que ha venido desarrollando particularmente a nueces con la colaboración de una serie de de rectoras y rectores, una serie de elementos que se han ido desarrollando a lo largo del tiempo, lo que eh hoy nos nos importa es que ustedes conozcan en lo general y poder entregar también presentarla brevemente y eh también acercar esta información tan importante para poderla socializar. Si hubiera algún otro punto en asuntos generales, quiero recordar que en asuntos generales no se toman acuerdos, ¿no? Entonces nada más un poco en esta práctica, les debemos todavía el todo lo que va a ser el reglamento de funcionamiento del CONACES, la la dinámica, la mecánica que le llaman algunos de cómo presentar las cosas. Entonces eh quisiéramos si son tan amables, si no hay ningún otro punto que agregar o algún punto que quieran ustedes en asuntos generales."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Bien, no habiendo ningún otro elemento, esta versión digamos corregida me permito yo si no me falta nada más, Jaime. No es eso los pequeños cambios que habíamos hecho  hacer como hemos venido eh realizando las reuniones, hacer la votación, acordarse  que por la negativa, ¿no? Suena horrible esto de la negativa, pero bueno, no hay que ser negativos, pero ni modo, es más ágil. Entonces aquellos que estén por la negativa, o sea, por estar en contra de la orden del día. "
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Igual tenemos el equipo adicional distancia me dicen que no hay ninguna, queda aprobado por unanimidad. Se registra, por favor, el acuerdo respectivo."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Para continuar el desarrollo de la sesión, cedo el micrófono al maestro Jaime Valls."
"Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Gracias, muchas gracias. Les doy la más cordial bienvenida a la ANUIES, a todos los presentes. Saludo al subsecretario de Educación Superior, al jefe de la oficina, a las rectoras que también han sido ya presentadas y a y a todos ustedes."
"Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","El siguiente punto en representación de la Secretaría de Educación Pública, la maestra Delfina Gómez Álvarez, nos acompaña el jefe de la oficina, a quien cedemos la palabra y le pedimos enviar un saludo afectuoso a la secretaría, por favor. Rafael, gracias."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Como no, con mucho gusto. Muy buenos días a todas, a todos. Es un privilegio estar nuevamente aquí con ustedes en esta ya tercera sesión ordinaria y acudiendo con la muy honrosa representación de la titular de la Secretaría de Educación Pública, la maestra Delfina Gómez Álvarez. Saludo con respeto y con muchísimo aprecio a todos los integrantes del presidium, por supuesto, mi querido y dilecto amigo Luciano Concheiro, mi amigo Jaime Valls, a Rosa María Torres, por supuesto también, un afectuoso saludo a Lilian Craso también. Muchas gracias y a todas ustedes que están aquí presentes, también los que hacen de manera virtual. Les agradecemos de verdad su su presencia y su participación en este muy importante sesión ordinaria."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Pues llegamos ya a esta tercera sesión ordinaria para ir siguiendo y desahogando la ruta de navegación que se trazó desde el principio, que fue en agosto del año pasado,"
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","una muy importante ruta de navegación que se ve reflejada precisamente en esta orden del día que se pronuncia muy rápido, pero la verdad es que tiene muy alto contenido."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Por fortuna pude estar desde el inicio de la discusión del artículo tercero constitucional y me consta eh con qué pasión, con qué entusiasmo, con qué voluntad, eh con qué planeación, incluso se me permiten la palabra, con qué ilusión se plasmó en él, pues todo lo que sería las directrices para guiar la educación superior, no durante la presente administración, sino con una política de estado que trascendiera las administraciones y los sexenios, una visión de 20, 30, 40 o 50 años o más."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Y también, pues, dentro del mandato de ese artículo tercero constitucional, uno de los más importantes sin duda fue la Ley General de Educación Superior que también se vio cristalizada, pues, por decirlo así, recientemente y también con un apoyo casi unánime de todas las fracciones parlamentarias reflejadas en el Congreso de la Unión."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Y dentro de esa Ley General de Educación Superior, pues se estableció como órgano supremo de deliberación, consenso, consulta y participación, precisamente este Consejo Nacional para la Coordinación de la Educación Superior y, precisamente, con esta nueva gobernanza, con esta nueva forma de hacer las cosas, es con la participación y con la colaboración de todas y de todos los sectores, es que nos escuchemos todos, que todos podamos participar y que lleguemos a grandes acuerdos tan necesarios en este momento para la educación, en especial para la educación superior."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Dentro del orden del día, pues vemos reflejado este nuevo modelo de política de financiamiento para garantizar dos de las cuestiones más importantes e innovadoras que tiene la Constitución y la Ley General de Educación Superior, que es la obligatoriedad y la gratuidad de la educación superior. "
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Ha sido un sueño, un anhelo largamente acariciado, pero que corresponde precisamente a todos nosotros que se convierte o se cristalice en realidad, que no quede nada más en buenas intenciones plasmadas en la Constitución y en la Ley General, sino precisamente en esta nueva ruta que se va a presentar ante todos nosotros y que es obligación de todos los órdenes de gobierno, no solamente del federal porque de repente pareciera poder actuar de varias entidades federativas que únicamente quieren que todo recaiga sobre la federación, pero es corresponsabilidad también de los estados, de los municipios y también de todas las instituciones de educación superior que estamos involucrados. "
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Es un gran reto, pero tenemos que estar todos sumados en él, en hacer realidad esta obligatoriedad y gratuidad de la educación superior. También otra tarea muy importante que es la armonización legislativa en todas las entidades federativas. Se ha avanzado ya mucho en la armonización de la Ley General de Educación, vamos casi en un 90%, los congresos estatales ya casi aprueban en su totalidad un nuevo diseño o andamiaje jurídico sobre la educación en general, pero eh falta eh empujar, promover que también se haga esta armonización en todas las entidades federativas ahora de la Ley General de Educación Superior. Ahí sí vamos un poquito rezagados y yo creo que ahí tenemos un nicho de oportunidad que podemos ir este cabildeando y consensuando con las legislaturas de los estados para que también ellos adecuen ya su su legislación en en la materia."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Quiero eh también agradecer y y y destacar en nombre de la secretaría el extraordinario papel que todas las instituciones de educación superior han jugado durante la pandemia. Eh se ha dicho poco, pero la verdad es que su participación fue decidida, fue primordial y si me lo permiten hasta fundamental. "
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","En acciones primero pues en la suspensión de las clases, en la sana distancia, en la promoción de las medidas también de salud, pero también aportaron las plataformas que ya tenían muchas universidades ya desarrolladas para la educación a distancia. Ahí fueron un referente para la educación media superior y básica para hacer llegar este los contenidos educativos durante la pandemia. Se abrevió, se aprendió mucho de los desarrollos que ya habían hecho las universidades y que generosamente facilitaron en muchas ocasiones a instituciones de otros tipos educativos."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Algo también importantísimo fue pues todas las bibliotecas, los repositorios, los materiales digitales y también las universidades que cuentan con radio y televisión, el enorme esfuerzo desplegado durante toda la la pandemia. "
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","También con la innovación tecnológica nos ayudaron a desarrollar respiradores propios, este un sin número pues de de innovaciones, se pusieron a fabricar gel antibacterial, entre otras muchas actividades también facilitaron eh sus instalaciones, su infraestructura, por ejemplo los refrigeradores para mantener las vacunas a temperatura, la red de ultracongelación que no fue necesario ir a comprarla porque afortunadamente la mayoría de nuestras universidades ya contaban con ellas y también pues la participación en las jornadas de vacunación tanto la del año pasado como la del presidente de todo el sector educativo. En total las dos jornadas fueron casi seis millones, tres millones en la primera y dos millones ochocientos en esta segunda jornada de vacunación, la verdad que ha sido muy muy importante."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","También otro aspecto a resaltar fue el apoyo que dieron a través de las facultades de psicología para el apoyo psicoemocional. La secretaría puso a la disposición eh a través de Educatel, esa línea telefónica que ya muchísimos conocemos y ahí se recibió casi medio millón de llamadas y de asistencia psicológica. Para no solamente para estudiantes, sino para población abierta en general que durante el confinamiento necesitaba ese apoyo, ese respaldo y las universidades estuvieron generosamente acompañando el gran esfuerzo del gobierno de eh la república."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Finalmente pues quiero pedirles en nombre de la secretaría de educación pública que ahora el gran reto en educación superior está en el regreso a clases presenciales. En clases en el tipo de educación básica estamos ya casi cercando al 80% de clases presenciales, pero en educación superior aún no llegamos al 50%. Ahí pedirles que hagamos un esfuerzo adicional. Ya tenemos una gran campaña de vacunación tanto con los docentes como con nuestro alumnado para que pues empecemos ya el regreso gradual, ordenado, por supuesto a las clases pero ya que ya es fundamental pues eh yo creo que ya es necesario que nuestros alumnos estén en las en las aulas, nuestros maestros dando también ya presencialmente porque aunque este medio es maravilloso los que nos están viendo, pero nada sustituye a las clases presenciales. Entonces ahí la convocatoria de parte de nuestra secretaría y del propio presidente de la república una vez más a que hagamos ya eh realidad esa normalidad, la nueva normalidad que tenemos y que volvamos ya todas a las aulas."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Les digo estamos todavía por debajo del 50% del ingreso a clases presenciales en promedio en todo el país. Hay algunos estados que han avanzado más, otros menos, pero la invitación es para todos, para que ya hagamos realidad esta nueva normalidad."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Y pues nuevamente eh recordarles, bueno, no no necesito recordarles que pues México espera muchísimo de nosotros y que estoy seguro que este Consejo Nacional para la Coordinación de la Educación Superior estará a la altura del desafío actual y futuro y que México nos está llamando."
"Lic. Rafael Flores Mendoza, jefe de la oficina de la Secretaría de Educación Pública ","Muchísimas gracias, enhorabuena y hago votos porque todos los acuerdos que hoy se tomen lleguen a buen puerto y sean por el bien de nuestro país. Muchas gracias, muy buenos días."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Muchas gracias al jefe de la oficina de la Secretaría de Educación Pública. Gracias, Rafael."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Ya pasamos al siguiente punto dando cumplimiento a los lineamientos que rigen este consejo; en la convocatoria de esta sesión se remitió la propuesta de acta de la sesión anterior. Pregunto a los integrantes de este consejo nacional si alguien tiene comentarios al respecto y si no, de no ser el caso, les propongo obviar la lectura para poder agilizar el Desarrollo de la sesión."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES",¿Los que estén por la negativa a esta propuesta? Entonces se aprueba el acta que fue enviada. Muchas gracias a todos.
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Que se registre el acuerdo correspondiente, por favor."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Pasando al siguiente punto, como ustedes saben una de las funciones de este secretariado técnico conjunto es dar cuenta a todos ustedes del estado que guarda el cumplimiento de los acuerdos aprobados por este consejo en cada una de sus sesiones anteriores. Para tales efectos en días pasados se solicitó enviar al secretariado técnico conjunto el informe de avances en los acuerdos que correspondieran a su ámbito de responsabilidad. "
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","A partir de lo anterior se integró el informe de seguimiento de los acuerdos que también se incluyó en la carpeta que les fue enviada, respecto del cual también se sugiere obviar la lectura y someter a su aprobación dicho informe si es que nadie tiene algún comentario antes. ¿Pregunto si alguien tiene algún comentario?"
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Entonces se consulta si es de aprobar, si es de aprobarse el informe. Los que estén por la negativa, por favor. Entendemos que queda aprobado por unanimidad."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Muchas gracias, solicito que se registre el acuerdo."
"ME. Jaime Valls Esponda, secretario general ejecutivo de la ANUIES","Le cedo la palabra al subsecretario Luciano Concheiro, por favor."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Muchísimas gracias, maestro Jaime Valls. Continuamos con el punto seis eh de la orden del día."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,El punto seis es la presentación de avances del programa anual de trabajo 2021-2022. 
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Distinguidos consejeros y consejeras, en este punto se someterán a su consideración seis temas que se comprometieron en el plan de trabajo del Conaces para el periodo 2021-2022, los cuales resultan fundamentales para avanzar en las transformaciones que establece la Ley General de Educación Superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,En esta sesión se presentarán los avances y las propuestas que se plantean en los siguientes temas. Me permito su lectura para tener una visión de conjunto.
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Primero, modelo y política de financiamiento para la obligatoriedad y gratuidad de la educación superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Dos, armonización normativa derivada de la ley general de educación superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Tres, programa nacional de educación superior y programa de ampliación de la oferta de la misma."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Cuatro, plan de acción para la igualdad de género y asegurar que en las instituciones de educación superior se constituyan como espacios libres de todos los tipos de violencia, que se constituyan entonces, en especial en la confrontación con la violencia de género y la discriminación hacia las mujeres."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Cinco, reinstalación de las comisiones estatales para la planeación de la educación superior o instancias equivalentes."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Seis, sistema de evaluación y acreditación de la educación superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"El 6.1, modelo y política de financiamiento para la obligatoriedad y gratuidad de la educación superior. En este primer tema, voy a ceder el uso de la palabra al maestro Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM, quien ha desempeñado un papel muy relevante en los grupos de trabajo constituidos en el marco de la ANUIES y del CONACES para elaborar los estudios técnicos que sustentan la propuesta para transitar hacia un nuevo modelo y una política de financiamiento que no solo sustente el cumplimiento de la obligatoriedad y gratuidad de la educación superior que se encuentra en la ley, sino que siente las bases para el cumplimiento pleno de la misión y las funciones sustantivas de las instituciones de educación superior."
Dr. Luciano Concheiro Bórquez subsecretario de Educación Superior.,"Adelante, por favor, maestro Javier Mendoza, si eres tan amable. "
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Muchas gracias, subsecretario, amigo Luciano. Buenos, buenos días a todas y a todos, los que están presencialmente y los que están en esta sesión del conaces a distancia."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Voy a tratar de de ser este eh lo más breve possible para la presentación de este punto eh si comenzamos con la presentación, por favor."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Como ustedes saben el propósito del del documento como se presentó en la pasada sesión ordinaria, en la segunda sesión ordinaria del mes de noviembre, es poder sentar las bases para la elaboración de una nueva política y un modelo de financiamiento a las instituciones públicas de educación superior con cuatro objetivos centrales."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Uno de ellos es, como ya este se señaló en esta eh anteriormente, asegurar la obligatoriedad y la gratuidad en los términos en que está señalado en el artículo tercero constitucional y en la Ley General de Educación Superior aprobada en abril del año pasado. "
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM",Lograr en segundo término el cumplimiento de los objetivos y de las metas establecidos en el programa sectorial de educación 2020-2024.
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Tercero, facilitar el proceso de transformación de las instituciones públicas de educación superior, derivados de la LGES."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Cuarto objetivo, otorgar certeza y suficiencia presupuestaria con equidad a las IPES de los tres subsistemas para la realización de sus funciones académicas con excelencia, equidad y pertinencia."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Bueno, a partir de estos objetivos eh que se se había presentado el documento en la pasada session del CONACES, se tomó el acuerdo de que en esta sesión se presentara una nueva versión, que en ese entonces se le llamó versión definitiva. Bueno, no hay definitividades en la elaboración de los documentos y menos con el carácter de un documento como este que es de una acción continua y permanente para ir mejorando e ir construyendo nuevos instrumentos, nuevas políticas en materia de financiamiento."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Para ello el secretario conjunto convocó a los integrantes del consejo nacional a presentar eh pues nombres de colegas este académicas, académicos, funcionarios para integrar este grupo de trabajo para poder avanzar en la elaboración de esta segunda versión y el 9 de febrero se instaló esta comisión, este grupo de trabajo eh con eh alrededor de poco más de treinta integrantes, 36 integrantes de las diferentes regiones del país y de todos los los subsistemas y eh se hizo entrega de documentos con propuestas específicas a partir de las cuales se elaboró una segunda versión que ya ha sido entregada."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Aquí cabe señalar que se les envió el día de ayer primero una una versión, pero más tarde en un alcance se envió una siguiente versión con algunos algunos cambios resultado de la discusión que se tuvo tanto con el grupo de trabajo ayer por la tarde como con el secretario técnico conjunto del CONACES."
"Javier Mendoza Rojas, académico del Instituto de Investigaciones sobre la Universidad y la Educación de la UNAM","Las propuestas de la de la comisión van en el sentido de poner mayor énfasis en la difícil situación financiera de las instituciones públicas de educación superior, así como con el agravamiento de la situación que viven no solamente universidades, sino también institutos tecnológicos, escuelas normales, es decir, presentar como una señal señal de alerta a los diferentes actores políticos, sociales y educativos sobre la necesidad impostergable de transitar hacia un nuevo pacto, un nuevo acuerdo para el financiamiento de la educación superior y para la sostenibilidad de las instituciones públicas a largo plazo."
