Participante,Dialogo
Presentador,"Muy buenos días tengan todas y todos. La Secretaría de Educación Pública y la Asociación Nacional de Universidades e instituciones de Educación Superior agradecen su presencia y les brindan una cordial bienvenida a esta decimosegunda reunión sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior, el CONACES."
Presentador,Se solicita a todas y todos los asistentes ocupar sus lugares y apagar sus teléfonos o ponerlos en modo de silencio. Antes de iniciar escucharemos un importante mensaje de protección civil.
Protección Civil,"Mensaje de protección civil. Antes de iniciar el evento escuchemos con atención un aviso de protección civil. Estamos ubicados en planta baja. Les pedimos que identifiquen la simbología de rutas de protección civil, como son: ruta de evacuación y zona de menor riesgo. De su lado derecho contamos con tres puertas, mismas que pueden ser utilizadas para evacuar en caso de alguna emergencia. Las dos primeras los dirigen hacia el lobby del edificio con salida a la calle Miguel Laurent, mientras que la tercera hacia un punto de reunión dentro de las instalaciones. De su lado izquierdo también hay una salida que los dirige a la calle de Tenayuca. Cuando se encuentren en el primer o segundo piso, nuestro protocolo de seguridad ante un sismo es realizar el repliegue. Al escuchar la alerta sísmica debemos mantener la calma, ubicarnos en los puntos señalados como puntos de menor riesgo, que son los letreros verdes colocados en columnas y muro perimetral, sin tratar de salir por escaleras o elevadores. Al terminar el sismo y después de que el personal capacitado revise que la escalera no haya sufrido daños, entonces procederemos a la evacuación. Por su atención, gracias. Bienvenidos."
Presentador ,"Ahora al subsecretario de Educación Superior, el doctor Luciano Concheiro Bórquez para conducir esta sesión."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Buenos días, tengan todas y todos. Vamos a dar inicio a esta reunión. Les informo que de conformidad con lo que establece el artículo 52 de la Ley General de Educación Superior, respecto al número de integrantes de este consejo, tenemos y estamos reunidos 84 de los cuales 18 son están presentes y el resto los 66 restantes a distancia, por lo cual declaramos el cuórum legal para la instalación de la decimosegunda sesión ordinaria del Consejo Nacional para la Coordinación de la Educación Superior, sí, que se proyecte el acuerdo si son tan amables."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Acuerdo S.O.CONACES.12ª.1. Los integrantes del Consejo Nacional para la Coordinación de la Educación Superior (CONACES) aprueban la instalación de su Décima Segunda Sesión Ordinaria. 
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Quien esté por la negativa.
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Abstenciones.
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Queda aprobado por unanimidad. Si les parece bien en esta sesión que fue convocada híbrida, votaremos siempre como lo acabamos de hacer."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Punto número dos, lectura y en su caso aprobación de la orden del día. Como segundo punto comento que se propuso una orden del día para esta décima segunda sesión del CONACES. Fue remitida como corresponde. Si hay alguna se puede proyectar, ya estamos en eso todavía no, sí, de poderlo hacer y si no, ahí está. Sí, bueno, los que tengan super vista ya nos podrán decir qué dice, pero los demás en función de lo anterior les consulto si hubiera algún elemento más, algo para asuntos generales o alguna cuestión que ustedes consideren que deba de tratarse."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Bien, de no ser así les voy a pedir que proyecten el acuerdo igual, sí. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Acuerdo S.O.CONACES.12ª.2. El CONACES aprueba en todos y cada uno de sus puntos, el Orden del Día de su Décima Segunda Sesión Ordinaria. "
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Alguien esté por la negativa.
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior",Abstenciones. 
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Bien, entonces queda aprobado por unanimidad la orden del día tal cual se encuentra aquí."
"Dr. Luciano Concheiro Bórquez, Subsecretario de Educación Superior","Una vez desahogado este punto pasaríamos a un mensaje digamos de la secretaria que está enterada de que estamos en esta reunión y como no pudo asistir prefiere no repetir estas cuestiones de hola, saludo y tal, sino que nosotros le entráramos al tema directo y a los aspectos centrales, con la confianza que nos da, me permito hacer una breve intervención inicial para encuadrar nuestra reunión y destacar los aspectos que nos parece centrales avanzar en esta penúltima reunión del CONACES."
